,Topik 1,Topik 2,Topik 3
angkaangka,3.9864540029778474e-05,7.838784229636564e-05,6.758266182491946e-06
angkatan,6.738048319251051e-05,7.13558176468251e-06,1.2547545241179668e-05
angket,0.00023920983822362437,7.147126866591998e-06,6.846225666399134e-06
angsuran,7.311747064293372e-06,4.2045965325728114e-05,6.7321607513471795e-06
angular,6.6483900395444174e-06,0.0001496494778597164,6.732160566449447e-06
animasi,0.00013659219192587132,7.126165734387765e-06,0.0003800630899439137
annidhomiyah,6.648390074698051e-06,7.1261657051537975e-06,4.039296297602277e-05
annular,6.648390059467619e-06,4.2756993565779863e-05,6.732160587117482e-06
anonym,6.801719069185188e-06,4.2519486491745276e-05,6.8012749409061064e-06
anotasi,6.648390046104283e-06,7.838782167839855e-05,6.732160573223484e-06
anp,7.47923339810525e-06,7.14672567719028e-06,0.0002078362407864724
anpelectr,3.9890339853184e-05,7.126165689151826e-06,6.732160588426192e-06
answer,6.64839008313389e-06,0.00011386454016883527,6.8777494223219294e-06
ant,8.087178175061359e-06,4.121480896833808e-05,6.7321609064314735e-06
antarfitur,7.965939984152554e-06,4.1344759857942724e-05,6.73216079726216e-06
antarmuka,6.64839009324568e-06,7.823193418732377e-05,6.879429010204531e-06
anteced,6.648390052541286e-06,7.126165679812941e-06,4.0392963022398665e-05
anternatif,6.648390070482109e-06,7.126165700181867e-06,4.039296298498889e-05
antisipasi,6.648390100856798e-06,4.2584075358731277e-05,6.89551811903373e-06
antomi,3.9791777461994644e-05,7.126165704073699e-06,6.831964863553212e-06
antri,6.648390063034007e-06,7.126165691781593e-06,4.039296300046674e-05
antrian,0.0003057263412870629,7.17315991292949e-06,6.788618094863949e-06
anual,3.98342761693345e-05,7.1261657112526906e-06,6.7889306605822455e-06
ap,6.6483900830220045e-06,0.0001828043935027197,7.639278520337088e-05
apach,0.00013951956899793544,7.1261657070775466e-06,6.8299988250239305e-06
apapun,5.417256117999934e-05,9.786971426264409e-05,7.5260439195062345e-06
aparat,7.313228985575206e-05,7.126165681206722e-06,6.732160581297019e-06
aparatur,3.9890339899467844e-05,7.12616566377559e-06,6.732160565532543e-06
api,0.0005346031844388559,7.646507041226289e-06,0.00027949276220425484
apk,0.000106359217750563,7.1422673178586755e-06,6.732160576239936e-06
apl,7.127293845049653e-06,7.787450215565786e-05,6.7321606572777874e-06
aplic,6.648390055037537e-06,4.275699357538618e-05,6.73216058252824e-06
aplikai,3.9721411950711886e-05,7.126165698105462e-06,6.903216994427303e-06
aplikasi,0.007223537680404276,0.002716272094432475,0.011547822167633157
aplikasiaplikasi,7.724271644943595e-06,7.132253515776318e-06,0.00010661937918039566
aplikasidalam,6.648390092561531e-06,7.1261657256330255e-06,4.0392962938587106e-05
aplikasinya,7.244359401828612e-05,7.212195069874361e-06,7.34826123866492e-06
aplikasisalah,6.648390071194515e-06,7.12616570109537e-06,4.0392962983404514e-05
apm,0.000106359217750563,7.1422673178586755e-06,6.732160576239936e-06
apotek,6.975778661455238e-06,0.00036308358209114123,0.0001413753222812065
apotik,6.955327465950869e-06,4.2427998509119855e-05,6.732160679342884e-06
app,3.9721411950711886e-05,7.126165698105462e-06,6.903216994427303e-06
appear,6.648390047162159e-06,4.275699359249443e-05,6.73216057434059e-06
applic,0.0001273340872489232,0.00010748104495432559,9.266676573691367e-05
applikasi,6.648390048779445e-06,4.2756993589007275e-05,6.732160575997255e-06
apprentic,6.648390055487036e-06,7.126165683176394e-06,4.039296301623828e-05
approxim,6.847604368409966e-06,7.817429104870197e-05,6.732160665163122e-06
apresiasi,6.8558419668660535e-06,7.126165735040638e-06,7.384369975119151e-05
apriliana,6.648390047494995e-06,7.126165673977437e-06,4.039296303302145e-05
apriori,6.6526216490789576e-06,7.1261656853315935e-06,0.0002423534937917018
ar,0.00040808159558780246,7.126165735479453e-06,0.00020613529450566964
arab,2.8237482169007338e-05,2.224428821122857e-05,0.0003408576290427646
arah,0.00010032452694568657,0.00044622541676114254,0.00013660945178164133
arahan,3.989033983626722e-05,7.126165698461748e-06,6.732160596760874e-06
arcad,6.7964134509999615e-06,7.12616570814435e-06,4.024307448410969e-05
architectur,6.648390083190405e-06,0.00014281694389891477,0.0003161341477929547
architecturecentr,6.648390105230996e-06,7.126165740194282e-06,4.039296291200172e-05
architectureuntuk,6.648390047591045e-06,4.27569935914968e-05,6.7321605748487635e-06
arduino,0.00018136681533613972,7.279979797269135e-06,0.000233596583272787
area,0.00017625331003156327,0.0005022887769819875,6.760334982405158e-06
areabas,3.9518867207106815e-05,7.524333491916248e-06,6.732160696157746e-06
areal,3.986458858235714e-05,7.12616570148534e-06,6.75823631672215e-06
ari,0.0001395711249512134,7.174469074411451e-06,6.732160582264501e-06
arial,3.715179167053303e-05,7.340768048061542e-06,9.302477798451815e-06
arifin,3.9347215603493014e-05,7.2485558961282e-06,7.166505006598615e-06
arima,7.292853434568961e-05,7.126165753196586e-06,6.938483367413583e-06
arini,6.648390084984419e-06,7.1261657169983005e-06,4.039296295441707e-05
aritmatika,6.676293310275035e-06,7.126165697226072e-06,7.402551077870065e-05
arosbaya,3.98902941092602e-05,0.000185245529153459,6.765061047087434e-06
around,3.983397607872544e-05,7.186579945046748e-06,6.7321605964522244e-06
arous,6.648390123117361e-06,7.79462673557782e-05,7.1493013163519485e-06
arq,6.6483900800838005e-06,7.236573013917803e-06,4.028866007243928e-05
array,3.989033985659993e-05,7.126165687273228e-06,6.732160586741969e-06
arrhytmia,6.648390037682554e-06,0.00018528030594732687,6.732160564501054e-06
arsip,0.000139290475134317,7.12616578006373e-06,7.061979230107477e-06
arsitek,6.648390052817618e-06,4.272951579940434e-05,6.758119116815701e-06
arsitektur,7.638080185194805e-06,0.0008649606574274116,0.0009793476433357987
art,6.752750126223183e-06,7.130111974786224e-06,0.00020858757296900765
arti,0.00013923094932381612,4.897645747086828e-05,0.00010222907292684706
artif,7.309829834467688e-05,7.126165698307761e-06,6.766580373360092e-06
artifak,6.6483900374286375e-06,0.0004703133410326681,6.744998780902056e-06
artifici,8.108532792852785e-05,7.258270114996889e-06,0.0002005189285566106
artikel,0.00017527039236684585,7.317634714318219e-06,7.14302358608873e-05
aru,3.989032502389008e-05,7.126165754364486e-06,7.405378077258399e-05
as,6.705237350536927e-06,7.126165680903727e-06,0.0002086394125151621
asafa,3.9636780874372696e-05,7.126165880566409e-06,6.9889142602074915e-06
asc,6.648390042082352e-06,7.1261656677074315e-06,0.0001750361735042386
